id,mahalle,fiyat,brut,net,kat,bina_kat,banyo_sayi,isitma,oda_sayisi,site_ici,tarih,bina_yasi,balkon,asansor,cephe_K,cephe_B,cephe_D,cephe_G,deniz_man,nizam,longitude,latitude
1399,Aydinlikevler,400000,135,128,3,3,1,0,1,1,2021/09/30,7,0,1,0,0,0,1,1,0,34.585,36.781
1400,Aydinlikevler,370000,170,145,3,3,1,0,2,1,2021/09/29,5,0,1,0,0,0,0,1,0,34.585,36.781
1401,Aydinlikevler,520000,165,150,3,4,2,0,2,1,2021/09/29,5,0,0,1,0,0,0,1,0,34.584,36.782
1402,Aydinlikevler,399000,170,140,3,3,2,0,2,1,2021/09/18,5,0,1,0,0,0,1,1,0,34.585,36.782
1403,Aydinlikevler,415000,135,120,3,4,1,0,1,1,2021/09/13,8,0,1,1,1,0,0,1,0,34.585,36.782
1404,Aydinlikevler,325000,165,140,4,4,1,0,2,1,2021/10/01,7,0,1,0,0,0,1,1,0,34.585,36.783
1405,Aydinlikevler,690000,190,170,4,6,2,1,2,1,2021/09/16,7,0,0,0,0,1,0,1,0,34.585,36.783
1406,Aydinlikevler,660000,170,150,4,7,1,0,2,1,2021/09/19,9,0,0,0,0,0,0,1,0,34.584,36.783
1407,Aydinlikevler,689000,170,140,4,7,2,1,2,1,2021/09/20,7,0,0,,,,,1,0,34.584,36.783
1408,Aydinlikevler,439000,150,120,9,9,1,0,2,0,2021/09/27,7,0,0,0,1,0,0,1,0,34.584,36.783
1409,Aydinlikevler,530000,220,185,2,3,1,1,2,1,2021/09/22,7,0,1,0,0,0,0,1,0,34.584,36.784
1410,Aydinlikevler,530000,150,130,3,4,2,0,2,1,2021/09/25,5,0,0,0,0,1,0,1,0,34.585,36.781
1411,Aydinlikevler,350000,150,145,3,3,1,0,2,1,2021/09/06,5,0,0,1,0,1,0,1,1,34.586,36.781
1412,Aydinlikevler,490000,110,95,1,3,1,1,1,1,2021/09/18,0,0,0,0,0,1,1,1,1,34.586,36.781
1413,Aydinlikevler,350000,105,90,3,4,2,1,1,1,2021/09/17,4,0,0,0,0,1,1,1,0,34.586,36.781
1414,Aydinlikevler,350000,100,90,3,4,1,0,1,1,2021/09/05,4,0,0,0,0,1,1,1,0,34.585,36.780
1415,Aydinlikevler,320000,120,119,0,3,1,1,1,0,2021/09/22,9,0,1,0,1,0,1,1,0,34.586,36.781
1416,Aydinlikevler,420000,160,130,4,4,1,1,2,1,2021/09/17,10,0,1,,,,,1,1,34.586,36.781
1417,Aydinlikevler,550000,160,140,4,4,1,0,2,1,2021/10/01,10,0,1,1,0,1,0,1,0,34.585,36.780
1418,Aydinlikevler,319000,180,150,1,4,1,0,2,0,2021/09/22,9,0,1,0,0,1,1,1,0,34.585,36.781
1419,Aydinlikevler,319000,180,160,1,4,1,0,2,0,2021/09/04,9,0,1,0,0,1,1,1,0,34.587,36.781
1420,Aydinlikevler,310000,110,100,1,3,2,0,1,1,2021/09/10,3,0,0,1,1,0,0,1,0,34.587,36.782
1421,Aydinlikevler,450000,140,125,3,3,1,1,2,1,2021/09/20,11,0,1,1,1,0,0,1,0,34.586,36.782
